Localidad,Latitud,Longitud,Tipo_place,population,osm_type,osm_id,name_normalized
Panguecillo,-31.8390743,-70.8792669,village,731.0,node,5947597150,panguecillo
Pangueco,-37.5174701,-72.4146224,hamlet,274.0,node,5919437898,pangueco
Panguilelfún,-39.7101638,-72.3988833,hamlet,12.0,node,6078305752,panguilelfun
Panguilelfún Alto,-39.6790755,-72.426842,hamlet,157.0,node,6078321350,panguilelfun alto
Panguilelfún Bajo,-39.6988555,-72.4074878,hamlet,93.0,node,6078305753,panguilelfun bajo
Panguilemito,-35.3373762,-71.5570879,hamlet,471.0,node,6209426762,panguilemito
Panguilemito Sur,-35.3529361,-71.5621734,hamlet,111.0,node,6209426760,panguilemito sur
Panguilemo,-35.3628744,-71.5910349,village,1373.0,node,214203411,panguilemo
Panguilemo Bajo,-35.3620885,-71.5762925,hamlet,89.0,node,6209426761,panguilemo bajo
Panguilemo Oriente,-35.3721673,-71.5867639,hamlet,73.0,node,5735942960,panguilemo oriente
Panguilemu,-36.5200537,-72.4915653,hamlet,123.0,node,2381883604,panguilemu
Panguimilla,-40.2379658,-73.0056418,hamlet,,node,10078978340,panguimilla
Panguipulli,-39.6419909,-72.3333801,town,11091.0,node,214191417,panguipulli
Panguipulli Alto,-39.6557845,-72.3421921,hamlet,27.0,node,6078305760,panguipulli alto
Paniagua,-36.4669387,-72.5487971,hamlet,58.0,node,9691166485,paniagua
Paniahue,-34.6254347,-71.3487983,neighbourhood,,node,12245481548,paniahue
Panilongo,-34.695305,-71.9215787,hamlet,167.0,node,214219674,panilongo
Panimávida,-35.7623706,-71.4188927,village,2057.0,node,214225284,panimavida
Panitao,-41.5296659,-73.0524168,suburb,,node,8821229873,panitao
Panitao Alto Oriente,-41.5380888,-73.0523229,hamlet,504.0,node,6200141389,panitao alto oriente
Panitao Bajo,-41.5724189,-73.0931568,hamlet,944.0,node,6200141386,panitao bajo
Panquegua,-36.7712244,-72.7084253,hamlet,21.0,node,6001218972,panquegua
Panquehue,-32.7705769,-70.8361303,town,3806.0,node,2391031051,panquehue
Panquequillo,-37.1010824,-71.9445813,hamlet,28.0,node,6150582369,panquequillo
Panqui,-39.258775,-71.5029931,hamlet,60.0,node,5140303916,panqui
Pantanal,-34.9886924,-71.773469,neighbourhood,,way,1305958171,pantanal
Pantanillo,-27.1028987,-69.1504476,locality,,node,4072600256,pantanillo
Pantanillo Oriente,-36.2553307,-71.7355728,hamlet,85.0,node,7347789032,pantanillo oriente
Pantanillo Poniente,-36.2473016,-71.7535329,hamlet,82.0,node,7347789031,pantanillo poniente
Pantano,-36.7792669,-71.8343237,hamlet,49.0,node,6075227234,pantano
